question1,question2
Explain in brief the methodologies for performing system integration.,Briefly describe the techniques used for system integration.
Define inverter with application. Explain half bridge and full bridge inverter with waveforms.,"What is an inverter and its uses? What is the difference between a half bridge and full bridge inverter, and what do their waveforms look like?"
Define plane table survey and explain briefly the methods of plane tabling.,What is plane table surveying and how does it work?
"Write short notes on any Two: Pumped storage, Foundation treatment, sediment control in reservoir","Provide a brief overview of Pumped Storage and Foundation Treatment, as well as explain the measures taken to control sediment in a reservoir."
"Write short notes on: (Any two) Working of Stepper motor, Double field revolving theory, Current Transformer","Provide brief explanations of the operation of a Stepper Motor, the Double Field Revolving Theory, and a Current Transformer."
What do you mean by programming and development process? Define the construct phase.,"What is the definition of the ""construct phase"" in programming and development process?"
What does a project mean? Consider a project of your kind. What sort of plans would you make (better be specific on your product) to develop the product that ensures all your necessities?,What steps would you take to create a product of your choice that meets all your needs?
Explain the law of variable proportions. In which stage rational producers produce?,What is the law of variable proportions and what stage of production do rational producers operate in?
Describe how Free Disk block are managed in Disk,Explain the process of managing Free Disk blocks on a Disk.
What is a DC machine? Deduce the expression for emf generation in DC machines.,"How does a DC machine generate electrical energy, and what is the formula for its electromotive force?"
"Show that with usual notation: Say that a bottle has a round or square, flat, bottom and it has straight sides. The bottle is partially full (about half) of liquid. It is tapered at the top and has a screw-up cap. How can you accurately determine the volume of the bottle if you are equipped with only a ruler?","What is the most accurate way to measure the volume of a bottle with a round or square, flat bottom, straight sides, a tapered top, and a screw-up cap if you only have a ruler?"
What are the qualities of good roof? Differentiate between pitched roof and flat roof. Also describe the trusses:,"What are the characteristics of a good roof? How do pitched roofs differ from flat roofs? Additionally, what are trusses and how do they work?"
What caused VLIW to be processor unpopular?,What factors led to VLIW processors not being widely adopted?
